"label","gemeturi","glossaryuri","comments","replacewith","geonames","instructions: "
"biodynamic agriculture",,,,,,
"bioenergy",,"http://glossary.eea.europa.eu/EEAGlossary/B/bioenergy",,,,
"bioenergy crops",,,,,,
"bioethanol",,"http://glossary.eea.europa.eu/EEAGlossary/B/bioethanol",,,,
"biofuel","http://www.eionet.europa.eu/gemet/concept/12011","http://glossary.eea.europa.eu/EEAGlossary/B/biofuel",,"biofuels",,
"biofuel directive",,,,,,
"biofules",,,,"biofuels",,
"biogas","http://www.eionet.europa.eu/gemet/concept/832","http://glossary.eea.europa.eu/EEAGlossary/B/biogas",,,,
"biogeographic",,,,"biogeographical regions",,
"Biogeographical region",,,,"biogeographical regions",,
"biogeographical region","http://www.eionet.europa.eu/gemet/concept/835","http://glossary.eea.europa.eu/EEAGlossary/B/biogeographical_region",,"biogeographical regions",,
"bio-geographical regions",,,,"biogeographical regions",,
"biomass","http://www.eionet.europa.eu/gemet/concept/883","http://glossary.eea.europa.eu/EEAGlossary/B/biomass",,,,
"Biomass Action Plan",,,,,,
"biomass combustion",,,,,,
"biomass energy","http://www.eionet.europa.eu/gemet/concept/885",,,,,
"biome",,,,"biomes",,
"biomes",,,,,,
"bioplant",,,,"bioplants",,
"biotechnology","http://www.eionet.europa.eu/gemet/concept/898",,,,,
"biotope","http://www.eionet.europa.eu/gemet/concept/901","http://glossary.eea.europa.eu/EEAGlossary/B/biotope",,,,
"biowaste",,,,,,
"birch forest",,,,"birch forests",,
"bird","http://www.eionet.europa.eu/gemet/concept/912",,,"birds",,
"birds",,,,,,
"birds directive",,,,"Birds Directive",,
"BISE",,,,,,
"bison",,,,"bisons",,
"Black Sea","http://www.eionet.europa.eu/gemet/concept/14842",,"geo",,630673,
"black triangle",,,,,,
"Black-tailed godwit",,,,"black-tailed godwits",,
"BLOSSOM",,,,,,
"blue fish",,,,,,
"BOD",,"http://glossary.eea.europa.eu/EEAGlossary/B/BOD",,,,
"BOD",,"http://glossary.eea.europa.eu/EEAGlossary/B/BOD_OLD",,"none",,
"BOD5",,,,,,
"BOD7",,,,,,
"bog","http://www.eionet.europa.eu/gemet/concept/12161","http://glossary.eea.europa.eu/EEAGlossary/B/bog",,"bogs",,
"bonito",,,,,,
"boreal",,,,,,
"boreal forest",,"http://glossary.eea.europa.eu/EEAGlossary/B/boreal_forest",,"boreal forests",,
"bottled water",,,,,,
"brackish water","http://www.eionet.europa.eu/gemet/concept/984","http://glossary.eea.europa.eu/EEAGlossary/B/brackish_water",,,,
"broadleaved evergreen forest",,,,"broadleaved evergreen forests",,
"broadleaved-coniferous forest",,,,"broadleaved-coniferous forests",,
"Budget",,,,"budget",,
"buildings",,,,,,
"bunker fuels",,,,,,
"burden-sharing",,,,,,
"burning waste",,,,,,
"bus","http://www.eionet.europa.eu/gemet/concept/1082",,,"buses",,
"butterfly","http://www.eionet.europa.eu/gemet/concept/1091",,,"butterflies",,
"cabon binding",,,,,,
"Cadmium",,,,"cadmium",,
"cadmium","http://www.eionet.europa.eu/gemet/concept/1100","http://glossary.eea.europa.eu/EEAGlossary/C/cadmium",,,,
"CAFE",,"http://glossary.eea.europa.eu/EEAGlossary/C/CAFE",,,,
"cancer","http://www.eionet.europa.eu/gemet/concept/1130",,,,,
"CAP",,"http://glossary.eea.europa.eu/EEAGlossary/C/CAP",,,,
"cap and trade",,,,,,
"capacity building",,"http://glossary.eea.europa.eu/EEAGlossary/C/capacity_building",,,,
"capita",,,,,,
"car","http://www.eionet.europa.eu/gemet/concept/1148",,,"cars",,
"car industry",,,,,,
"car occupancy",,,,,,
"car ownership",,,,,,
"car sales",,,,,,
"car sharing",,,,,,
"carbon","http://www.eionet.europa.eu/gemet/concept/1160",,,,,
"carbon capture",,,,,,
"carbon capture technology",,,,"none",,
"carbon cycle","http://www.eionet.europa.eu/gemet/concept/1164",,,,,
"carbon dioxide","http://www.eionet.europa.eu/gemet/concept/1168","http://glossary.eea.europa.eu/EEAGlossary/C/carbon_dioxide",,,,
"carbon efficiency",,,,,,
"carbon emission",,,,"carbon emissions",,
"carbon footprint",,,,,,
"carbon monoxide","http://www.eionet.europa.eu/gemet/concept/1173","http://glossary.eea.europa.eu/EEAGlossary/C/carbon_monoxide",,,,
"carbon sink",,"http://glossary.eea.europa.eu/EEAGlossary/C/carbon_sink",,,,
"carbon stock",,,,,,
"carbon storage",,,,,,
"carbon uptake",,"http://glossary.eea.europa.eu/EEAGlossary/C/carbon_uptake",,,,
"cardboard",,,,,,
"cardboard recycling",,,,,,
"cardiovascular",,,,,,
"cardiovascular disease","http://www.eionet.europa.eu/gemet/concept/1185","http://glossary.eea.europa.eu/EEAGlossary/C/cardiovascular_disease",,"cardiovascular diseases",,
"caretta caretta turtle",,,,"caretta caretta turtles",,
"carpool",,,,,,
"cars",,,,,,
"carsharing",,,,,,
"case studies",,,,,,
"Caspian Sea","http://www.eionet.europa.eu/gemet/concept/14843",,"geo",,630671,
"catchment","http://www.eionet.europa.eu/gemet/concept/12231",,,,,
"cattle","http://www.eionet.europa.eu/gemet/concept/1225",,,,,
"caucasus",,,"geo","Caucasus",615318,
"CBA",,,,,,
"CCPM",,,,,,
"CCS",,"http://glossary.eea.europa.eu/EEAGlossary/C/CCS",,,,
"Cd",,"http://glossary.eea.europa.eu/EEAGlossary/C/Cd",,,,
"CDDA",,"http://glossary.eea.europa.eu/EEAGlossary/C/CDDA",,,,
"central asia",,,"geo","Central Asia","?",
"central heating",,,,,,
"Central Park",,,"geo",,5112085,
"CEPA",,"http://glossary.eea.europa.eu/EEAGlossary/C/CEPA",,,,
"cereal",,,,"cereals",,
"certification","http://www.eionet.europa.eu/gemet/concept/11612",,,,,
"certified emission reduction",,,,"certified emission reductions",,
"CFC",,"http://glossary.eea.europa.eu/EEAGlossary/C/CFC",,,,
"CFL",,,,,,
"CFP",,"http://glossary.eea.europa.eu/EEAGlossary/C/CFP",,,,
"CH4",,"http://glossary.eea.europa.eu/EEAGlossary/C/CH4",,,,
"change",,,,,,
"chemical","http://www.eionet.europa.eu/gemet/concept/1327","http://glossary.eea.europa.eu/EEAGlossary/C/chemical",,"chemicals",,
"chemical concentration model",,,,,,
"chemical density",,,,,,
"chemical elements, compounds, polymers, biological sequences, mixtures and alloys.",,,,"none",,
"chemical industry","http://www.eionet.europa.eu/gemet/concept/1310",,,,,
"chemical policy","http://www.eionet.europa.eu/gemet/concept/1317",,,,,
"chemical pollution","http://www.eionet.europa.eu/gemet/concept/1319",,,,,
"chemical product labelling",,,,,,
"chemicals",,,,,,
"chemicals information system",,,,,,
"childhood cancer",,,,,,
"chlorophyll-a",,,,,,
"CHP",,,,,,
"circles of discovery",,,,,,
"Cities",,,,"cities",,
"cities",,,,,,
"citizen science",,,,,,
"CITL",,,,,,
"city","http://www.eionet.europa.eu/gemet/concept/1421",,,"cities",,
"CityBEES",,,,,,
"civitas",,,,,,
"CLC",,"http://glossary.eea.europa.eu/EEAGlossary/C/CLC",,,,
"CLC technical guidelines",,,,,,
"CLC1990",,,,,,
"CLC2000",,,,,,
"CLC2006",,,,,,
"CLCchanges",,,,,,
"clean water",,,,,,
"CLIM",,,,,,
"CLIM001",,,,,,
"CLIM002",,,,,,
"CLIM003",,,,,,
"CLIM004",,,,,,
"CLIM005",,,,,,
"CLIM006",,,,,,
"CLIM007",,,,,,
"CLIM008",,,,,,
"CLIM009",,,,,,
"CLIM010",,,,,,
"CLIM011",,,,,,
"CLIM012",,,,,,
"CLIM013",,,,,,
"CLIM014",,,,,,
"CLIM015",,,,,,
"CLIM016",,,,,,
"CLIM017",,,,,,
"CLIM018",,,,,,
"CLIM019",,,,,,
"CLIM020",,,,,,
"CLIM021",,,,,,
"CLIM022",,,,,,
"CLIM023",,,,,,
"CLIM024",,,,,,
"CLIM025",,,,,,
"CLIM026",,,,,,
"CLIM027",,,,,,
"CLIM028",,,,,,
"CLIM029",,,,,,
"CLIM030",,,,,,
"CLIM031",,,,,,
"CLIM032",,,,,,
"CLIM033",,,,,,
"CLIM034",,,,,,
"CLIM035",,,,,,
"CLIM036",,,,,,
"CLIM037",,,,,,
"CLIM038",,,,,,
"CLIM039",,,,,,
"CLIM040",,,,,,
"CLIM041",,,,,,
"CLIM042",,,,,,
"CLIM08",,,,,,
"CLIM2008",,,,,,
"climate","http://www.eionet.europa.eu/gemet/concept/1462",,,,,
"Climate Action Network",,,,,,
"Climate change",,,,"climate change",,
"climate change",,"http://glossary.eea.europa.eu/EEAGlossary/C/climate_change",,,,
"climate change adaptation",,,,,,
"climate change adaption",,,,"climate change adaptation",,
"climate change and health",,,,,,
"climate change and you (EN)",,,,,,
"climate change consequences",,,,,,
"climate change impacts",,,,,,
"climate change in mountains",,,,,,
"climate change mitigation",,,,,,
"climate strategy",,,,"climate strategies",,
"climatic change","http://www.eionet.europa.eu/gemet/concept/1471","http://glossary.eea.europa.eu/EEAGlossary/C/climatic_change",,,,
"CLRTAP",,"http://glossary.eea.europa.eu/EEAGlossary/C/CLRTAP",,,,
"CO",,"http://glossary.eea.europa.eu/EEAGlossary/C/CO",,,,
"CO2",,"http://glossary.eea.europa.eu/EEAGlossary/C/CO2",,,,
"CO2 credit",,,,"CO2 credits",,
"CO2 emissions",,,,,,
"CO2 leakage",,,,,,
"CO2 transferral",,,,,,
"coach",,,,"coaches",,
"coal","http://www.eionet.europa.eu/gemet/concept/1500","http://glossary.eea.europa.eu/EEAGlossary/C/coal",,,,
"coast","http://www.eionet.europa.eu/gemet/concept/1512",,,"coasts",,
"coast_sea",,,,,,
"coastal",,,,,,
"coastal areas",,,,,,
"coastal bathing waters",,,,"coastal bathing water",,
"coastal city",,,,"coastal cities",,
"coastal ecosystem","http://www.eionet.europa.eu/gemet/concept/1516","http://glossary.eea.europa.eu/EEAGlossary/C/coastal_ecosystem",,"coastal ecosystems",,
"coastal erosion","http://www.eionet.europa.eu/gemet/concept/1519","http://glossary.eea.europa.eu/EEAGlossary/C/coastal_erosion",,,,
"coastal management","http://www.eionet.europa.eu/gemet/concept/14146",,,,,
"coastal sediment balance",,,,,,
"coastal water","http://www.eionet.europa.eu/gemet/concept/1526",,,,,
"Coastal waters",,,,"coastal water",,
"coastline urbanisation",,,,,,
"coasts",,,,,,
"COD",,"http://glossary.eea.europa.eu/EEAGlossary/C/COD",,,,
"COD",,"http://glossary.eea.europa.eu/EEAGlossary/C/COD_OLD",,,,
"cod",,,,,,
"code list",,,,,,
"coffee",,,,,,
"combined heat and power",,,,,,
"combustion",,,,,,
"combustion plant",,,,"combustion plants",,
"common agricultural policy","http://www.eionet.europa.eu/gemet/concept/1600","http://glossary.eea.europa.eu/EEAGlossary/C/Common_Agricultural_Policy",,,,
"common agricultural policy","http://www.eionet.europa.eu/gemet/concept/1600","http://glossary.eea.europa.eu/EEAGlossary/C/common_agricultural_policy","glossary entry is empty","none",,
"common bird",,,,"common birds",,
"common fisheries policy",,"http://glossary.eea.europa.eu/EEAGlossary/C/common_fisheries_policy",,,,
"common transport policy",,,,,,
"community farm",,,,"community farms",,
"compact fluorescent lamp",,,,"compact fluorescent lamps",,
"compaction","http://www.eionet.europa.eu/gemet/concept/1625",,,,,
"competition for resources",,,,,,
"composting","http://www.eionet.europa.eu/gemet/concept/1652","http://glossary.eea.europa.eu/EEAGlossary/C/composting",,,,
"concentration",,"http://glossary.eea.europa.eu/EEAGlossary/C/concentration",,,,
"conductivity","http://www.eionet.europa.eu/gemet/concept/1686",,,,,
"congestion charge",,,,"congestion charges",,
"conifer","http://www.eionet.europa.eu/gemet/concept/1692",,,"conifers",,
"coniferous forest","http://www.eionet.europa.eu/gemet/concept/1694","http://glossary.eea.europa.eu/EEAGlossary/C/coniferous_forest",,"coniferous forests",,
"conservation","http://www.eionet.europa.eu/gemet/concept/1700","http://glossary.eea.europa.eu/EEAGlossary/C/conservation",,,,
"conservation of biodiversity",,,,,,
"conservation of species","http://www.eionet.europa.eu/gemet/concept/7983",,,,,
"construction",,,,,,
"construction mineral",,,,"construction minerals",,
"consumer behaviour","http://www.eionet.europa.eu/gemet/concept/1736",,,,,
"consumer good",,,,"consumer goods",,
"consumer prices",,,,,,
"consumption","http://www.eionet.europa.eu/gemet/concept/1743",,,,,
"consumption and production patterns",,,,,,
"consumption pattern","http://www.eionet.europa.eu/gemet/concept/1745",,,"consumption patterns",,
"consumption patterns",,,,,,
"consumption trend",,,,"consumption trends",,
"container","http://www.eionet.europa.eu/gemet/concept/1746",,,"containers",,
"contaminated land",,"http://glossary.eea.europa.eu/EEAGlossary/C/contaminated_land",,,,
"contaminated land",,"http://glossary.eea.europa.eu/EEAGlossary/C/contaminated_land_old",,"none",,
"contaminated soil","http://www.eionet.europa.eu/gemet/concept/1751",,,,,
"contamination","http://www.eionet.europa.eu/gemet/concept/1752",,,,,
"continental",,,,"Continental region",,
"contributing factors",,,,"none",,
"conversion",,,,"ecosystem conversion",,
"cooling","http://www.eionet.europa.eu/gemet/concept/1781",,,,,
"COP15",,,,,,
"copper","http://www.eionet.europa.eu/gemet/concept/1792",,,,,
"coral acidification",,,,,,
"coral reefs",,,,,,
"CORILIS",,,,,,
"Corilis",,,,"CORILIS",,
"corilis",,,,"CORILIS",,
"CORINAIR",,,,,,
"Corine",,,,"Corine Land Cover",,
"Corine Land Cover",,"http://glossary.eea.europa.eu/EEAGlossary/C/Corine_land_cover",,,,
"corine land cover",,,,"Corine Land Cover",,
"cork","http://www.eionet.europa.eu/gemet/concept/1800",,,,,
"corporate communication",,,,,,
